id,g1q00001,g1q00001_other,g1q00002,g1q00003,g1q00004,g1q00004_other,g1q00005,g1q00006_sq002,g1q00006_sq003,g1q00006_sq004,g1q00006_sq005,g2q00001_sq001,g2q00001_sq002,g2q00002,g2q00003_sq001,g2q00003_sq002,g2q00004_sq002,g2q00004_sq003,g2q00004_sq004,g2q00004_sq005,g2q00004_sq006,g2q00004_sq007,g2q00004_sq008,g2q00004_sq009,g2q00004_sq010,g2q00004_sq011,g2q00004_sq012,g2q00004_sq013,g2q00004_sq014,g2q00004_other,g2q00005,g2q00007,g2q00006,g2q00008,g3q00001,g3q00002_sq001,g3q00002_sq002,g3q00002_sq003,g3q00002_sq004,g3q00002_other,g3q00003,g3q00004,g3q00005_sq001,g3q00005_sq002,g3q00005_sq003,g3q00005_sq004,g3q00005_other,g3q00006,g3q00007,g3q00007_other,g3q00008_sq001,g3q00008_sq002,g3q00008_sq003,g3q00009_sq001,g3q00009_sq002,g3q00009_sq003,g3q00009_sq004,g3q00009_sq005,g3q00009_sq006,g3q00009_sq007,g4q00001_sq001,g4q00001_sq002,g4q00001_sq003,g4q00001_sq004,g4q00002,g4q00003_sq001,g4q00003_sq002,g4q00004_sq001,g4q00004_sq002,g4q00004_sq003,g4q00005_sq001,g4q00005_sq002,g4q00005_sq003,g4q00006_sq001,g4q00006_sq002,g4q00006_sq003,g4q00008_sq001,g4q00008_sq002,g4q00008_sq003,g4q00007_sq001,g4q00007_sq002,g4q00007_sq003,g4q00009,age_group,ati_group,user_group
11,Male,"",20,Deutschland,Abitur / Matura,"",azubi,1,1,6,6,Rather agree,Rather disagree,Often,Rather agree,Rather disagree,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,werbung,finanzen ,nix,Ja,Ja,Nein,Ja,Nein,"",Ja,Ja,Ja,Nein,Nein,Nein,,"",One per week,"",Neutral,Neutral,Neutral,Unimportant,Unimportant,Important,Neutral,Unimportant,Neutral,Important,Rather agree,Neutral,Rather agree,Rather agree,,Neutral,Rather agree,Rather agree,Neutral,Neutral,Rather agree,Neutral,Neutral,Neutral,Rather agree,Rather agree,Rather agree,Neutral,Rather agree,Neutral,Neutral,Neutral,d,< 25,middle,user
12,Female,"",36,Deutschland,Lehre / Fachschule,"",Medizinische Fachangestellte ,4,4,3,3,Rather disagree,Strongly agree,Sometimes,Neutral,Neutral,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",No,"","","",Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Rather agree,Strongly agree,Rather agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Keine,25 - 60,middle,non-user
16,Male,"",20,Deutschland,Abitur / Matura,"",Student,4,5,5,5,Rather agree,Rather disagree,Sometimes,Rather disagree,Rather agree,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Teilweise zu viele ,Nachrichten sowohl von Messengern als auch von News,Die Menge müsste reduziert werden,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Strongly agree,Strongly agree,Strongly disagree,Neutral,Important,Important,Unimportant,Important,Unimportant,Neutral,Strongly agree,Rather disagree,Rather agree,Rather agree,,Strongly agree,Strongly agree,Strongly agree,Rather disagree,Rather agree,Rather disagree,Rather agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Rather agree,Strongly agree,Strongly disagree,Menge pro Tag,< 25,high,non-user
17,Male,"",23,Deutschland,Abitur / Matura,"",EK,5,5,1,2,Rather agree,Rather agree,Often,Rather agree,Strongly agree,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,instagram,whatsapp,ausmachen,Ja,Ja,Ja,Ja,Nein,"",Ja,Ja,Ja,Ja,Nein,Nein,,"",One per week,"",Rather agree,Rather agree,Rather agree,Very important,Very important,Very important,Important,Very important,Important,Important,Strongly agree,Strongly agree,Rather agree,Rather agree,,Rather agree,Rather agree,Strongly agree,Rather agree,Rather agree,Rather agree,Rather agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Rather disagree,Rather disagree,Rather disagree,Klein und informativ!,< 25,middle,user
18,Male,"",23,Deutschland,Bachelor,"",student,6,5,3,2,Strongly agree,Strongly agree,Always,Strongly agree,Strongly agree,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,wenn es vibriert,alle,es stört nichts,Ja,Ja,Ja,Nein,Nein,"",Ja,Ja,Ja,Ja,Nein,Nein,,"",One per week,"",Strongly agree,Strongly agree,Rather agree,Very important,Very important,Important,Neutral,Unimportant,Important,Very important,Strongly agree,Strongly agree,Rather agree,Rather agree,,Strongly agree,Strongly agree,Strongly agree,Rather agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rather agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rather agree,Strongly agree,keine,< 25,middle,user
19,Male,"",76,Deutschland,Master,"",Pensionär,6,6,5,6,Neutral,Rather disagree,Sometimes,Strongly agree,Strongly agree,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",Yes,Keine,Sichthaken,Nichts,Ja,Ja,Ja,Ja,Ja,"",Nein,N/A,N/A,N/A,N/A,N/A,,"",One per week,"",Strongly agree,Neutral,Rather agree,Important,Neutral,Neutral,Important,Important,Important,Important,Strongly agree,Rather agree,Strongly agree,Strongly agree,,Strongly agree,Rather agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Rather agree,Strongly agree,Rather agree,Rather agree,Strongly agree,Rather agree,Neutral,Strongly agree,Rather agree,Rather agree,Keine,> 60,high,user
25,Male,"",45,Deutschland,Abitur / Matura,"",Beamter,4,5,2,2,Neutral,Neutral,Sometimes,Rather agree,Rather agree,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,"",Yes,Werbung ,Informationen ,Kontrolle über Art der Nachrichten ,Ja,Ja,Nein,Nein,Nein,"",Ja,Ja,Nein,Nein,Ja,Nein,,"",One per week,"",Rather agree,Rather agree,Rather agree,Unimportant,Very unimportant,Neutral,Neutral,Unimportant,Neutral,Unimportant,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Neutral,Strongly agree,Rather agree,Rather disagree,Strongly agree,Neutral,Neutral,Neutral,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Rather agree,Keine,25 - 60,middle,user
26,Female,"",70,Deutschland,Lehre / Fachschule,"",Rentnerin ,3,3,1,1,Strongly disagree,Strongly agree,Never,Rather disagree,Rather disagree,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,"",No,Zuviel Werbung,Neuste wichtige Nachrichten ,Abschaffen ,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",Less than one per week,"",Strongly agree,Strongly agree,Rather agree,Very unimportant,Very unimportant,Neutral,Unimportant,Very important,Very unimportant,Unimportant,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Rather disagree,Neutral,Rather disagree,Rather agree,Neutral,Rather disagree,Neutral,Neutral,Rather disagree,Neutral,Strongly disagree,Rather disagree,Neutral,Neutral,Rather disagree,Neutral,Neutral,Fällt mir nichts ein,> 60,low,non-user
27,Male,"",75,Deutschland,Doktorat,"",freiberuflich,4,4,4,3,Rather agree,Neutral,Sometimes,Neutral,Neutral,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,"",I am not aware of the option,"Viele Benachrichtigungen, zur gleichen Zeit hintereinander.",Politische Nachrichten,Gezielte .persönliche Auswahl.,Nein,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,,"",One per day,"",Neutral,Rather agree,Rather agree,Important,Unimportant,Neutral,Important,Important,Neutral,Neutral,Rather agree,Rather agree,Rather agree,Strongly agree,,Rather agree,Rather agree,Rather agree,Rather disagree,Rather agree,Neutral,Neutral,Rather agree,Rather agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Rather agree,Rather agree,Rather disagree,Rather agree,keine,> 60,middle,non-user
28,Female,"",29,Deutschland,Bachelor,"",Data Engineer ,6,6,6,6,Strongly agree,Strongly disagree,Always,Strongly agree,Strongly agree,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"",Yes,Keine,Wenn es um Gesundheit geht ,Nichts ,Ja,Ja,Nein,Nein,Nein,"",Ja,Ja,Nein,Ja,Nein,Nein,,"",One per day,"",Strongly disagree,Strongly disagree,Strongly disagree,Very unimportant,Very unimportant,Very important,Very important,Very important,Very unimportant,Very important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Mit fällt keine ein,25 - 60,high,user
